fold,strategy,model,position_strategy,trading_method,entry_date,entry_price,exit_date,exit_price,total_return_pct,annual_return_pct,alpha_pct,final_capital,buy_hold_return_pct,num_trades,win_rate,profit_factor,avg_win,avg_loss,avg_trade,expectancy,max_drawdown,max_dd_duration,sharpe_ratio,sortino_ratio,calmar_ratio,omega_ratio,recovery_factor,max_consecutive_wins,max_consecutive_losses,trading_frequency,days
1,Futures Day Trading,VMD_Hybrid,fixed_05,futures_day_trading,,,,,7.903726510867393,17.32120944571158,-47.74312345897389,1079037.2651086738,55.646849969841284,120,0.5083333333333333,1.4534535997401343,4153.080862209131,2954.248601459051,658.6438759056081,658.6438759056077,0.024715754353251615,31,2.309234059759818,4.156345481852203,7.008165398533667,1.4598219432615076,3.197849597427952,7,4,1.0,120
1,Futures Swing Trading,VMD_Hybrid,fixed_05,futures_swing_trading,,,,,0.0,0.0,-55.646849969841284,1000000.0,55.646849969841284,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0,0,0.0,120
1,Spot Day Trading,VMD_Hybrid,fixed_10,spot_day_trading,,,,,5.994759088334156,13.004886495400259,-49.65209088150713,1059947.5908833416,55.646849969841284,18,0.7777777777777778,18.689805974943635,9048.058880125118,1694.4106387671272,6660.843431482397,6660.843431482397,0.012188928586449597,31,2.9820207948840864,4.8362166097445645,10.66942545701495,1.8012484531107567,4.918200189472372,4,2,0.15,120
1,Spot Swing Trading,VMD_Hybrid,fixed_10,spot_swing_trading,,,,,0.0,0.0,-55.646849969841284,1000000.0,55.646849969841284,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0,0,0.0,120
1,Futures Day Trading,VMD_Hybrid,fixed_10,futures_day_trading,,,,,16.168592184751994,36.98919866349555,-39.47825778508929,1161685.92184752,55.646849969841284,120,0.5083333333333333,1.4357022849197958,8734.075186321985,6289.706178273233,1347.3826820626684,1347.3826820626691,0.04898037993195204,31,2.3092340597597762,4.156345481852151,7.551839882598763,1.4598219432614965,3.3010344564935714,7,4,1.0,120
1,Futures Swing Trading,VMD_Hybrid,fixed_10,futures_swing_trading,,,,,0.0,0.0,-55.646849969841284,1000000.0,55.646849969841284,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0,0,0.0,120
1,Spot Day Trading,VMD_Hybrid,fixed_30,spot_day_trading,,,,,18.647169041042666,43.19916928091487,-36.99968092879862,1186471.6904104266,55.646849969841284,18,0.7777777777777778,17.39748789602017,28263.379622864497,5685.983474812761,20719.07671226955,20719.07671226955,0.03624136241848018,31,3.016948096617082,4.942384538920899,11.91985245534996,1.8121903327916202,5.145272637855938,4,2,0.15,120
1,Spot Swing Trading,VMD_Hybrid,fixed_30,spot_swing_trading,,,,,0.0,0.0,-55.646849969841284,1000000.0,55.646849969841284,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0,0,0.0,120
1,Futures Day Trading,VMD_Hybrid,fixed_30,futures_day_trading,,,,,52.6028480508151,142.93021912173424,-3.0440019190261864,1526028.480508151,55.646849969841284,120,0.5083333333333333,1.3713978308943022,31842.233214899854,24005.893993232898,4383.570670901254,4383.570670901248,0.1416285797729615,31,2.3092340597597905,4.156345481852163,10.091905133191291,1.4598219432615007,3.714140757122637,7,4,1.0,120
1,Futures Swing Trading,VMD_Hybrid,fixed_30,futures_swing_trading,,,,,0.0,0.0,-55.646849969841284,1000000.0,55.646849969841284,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0,0,0.0,120
1,Spot Day Trading,VMD_Hybrid,fixed_50,spot_day_trading,,,,,32.21356074786404,79.75443055577696,-23.433289221977248,1322135.6074786403,55.646849969841284,18,0.7777777777777778,16.262574319920585,49034.55011589619,10553.121666316525,35792.84527540448,35792.84527540448,0.05988072165298796,31,3.047698785549201,5.035808842132164,13.318882664433843,1.8223437646973424,5.3796213303078355,4,2,0.15,120
1,Spot Swing Trading,VMD_Hybrid,fixed_50,spot_swing_trading,,,,,0.0,0.0,-55.646849969841284,1000000.0,55.646849969841284,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0,0,0.0,120
1,Futures Day Trading,VMD_Hybrid,fixed_50,futures_day_trading,,,,,93.49732884384463,299.9608159193949,37.85047887400334,1934973.2884384464,55.646849969841284,120,0.5083333333333333,1.316346387273515,63778.848690668456,50093.83867275138,7791.4440703203745,7791.444070320365,0.22746193858796313,31,2.3092340597597865,4.156345481852158,13.187297082821411,1.4598219432615,4.110460388417368,7,4,1.0,120
1,Futures Swing Trading,VMD_Hybrid,fixed_50,futures_swing_trading,,,,,0.0,0.0,-55.646849969841284,1000000.0,55.646849969841284,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0,0,0.0,120
