fold,strategy,model,position_strategy,trading_method,confidence_threshold,entry_date,entry_price,exit_date,exit_price,total_return_pct,annual_return_pct,alpha_pct,final_capital,buy_hold_return_pct,num_trades,win_rate,profit_factor,avg_win,avg_loss,avg_trade,expectancy,max_drawdown,max_dd_duration,sharpe_ratio,sortino_ratio,calmar_ratio,omega_ratio,recovery_factor,max_consecutive_wins,max_consecutive_losses,trading_frequency,days
3,Spot Day Trading,EMD_LSTM,kelly,spot_day_trading,0.4,,,,,0.0,0.0,-99.36636574082694,1000000.0,99.36636574082694,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0,0,0.0,120
3,Spot Day Trading,EMD_LSTM,kelly,spot_day_trading,0.5,,,,,0.0,0.0,-99.36636574082694,1000000.0,99.36636574082694,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0,0,0.0,120
3,Spot Day Trading,EMD_LSTM,confidence_based,spot_day_trading,0.0,,,,,0.0,0.0,-99.36636574082694,1000000.0,99.36636574082694,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0,0,0.0,120
3,Spot Day Trading,EMD_LSTM,confidence_based,spot_day_trading,0.1,,,,,0.0,0.0,-99.36636574082694,1000000.0,99.36636574082694,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0,0,0.0,120
3,Spot Day Trading,EMD_LSTM,confidence_based,spot_day_trading,0.2,,,,,0.0,0.0,-99.36636574082694,1000000.0,99.36636574082694,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0,0,0.0,120
3,Spot Day Trading,EMD_LSTM,confidence_based,spot_day_trading,0.3,,,,,0.0,0.0,-99.36636574082694,1000000.0,99.36636574082694,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0,0,0.0,120
3,Spot Day Trading,EMD_LSTM,confidence_based,spot_day_trading,0.4,,,,,0.0,0.0,-99.36636574082694,1000000.0,99.36636574082694,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0,0,0.0,120
3,Spot Day Trading,EMD_LSTM,confidence_based,spot_day_trading,0.5,,,,,0.0,0.0,-99.36636574082694,1000000.0,99.36636574082694,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0,0,0.0,120
3,Spot Day Trading,Hybrid_LSTM_GRU,fixed_01,spot_day_trading,0.0,,,,,0.8133942850404585,1.7157716652192567,-98.55297145578648,1008133.9428504045,99.36636574082694,7,1.0,3285.364045455326,1095.1213484851087,0.0,1095.1213484851087,1095.1213484851087,0.0009874544348260218,22,3.9105982359804172,6.720414855427062,17.375704687797125,2.133386386543171,8.237284236652037,3,0,0.058333333333333334,120
3,Spot Day Trading,Hybrid_LSTM_GRU,fixed_01,spot_day_trading,0.1,,,,,0.7558940204338116,1.5939784930492085,-98.61047172039312,1007558.940204338,99.36636574082694,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0021121032378778,31,2.95337984262485,5.183128812515775,7.5468777494551205,1.693189384320518,3.578868716632019,0,0,0.008333333333333333,120
3,Spot Day Trading,Hybrid_LSTM_GRU,fixed_01,spot_day_trading,0.2,,,,,0.0,0.0,-99.36636574082694,1000000.0,99.36636574082694,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0,0,0.0,120
3,Spot Day Trading,Hybrid_LSTM_GRU,fixed_01,spot_day_trading,0.3,,,,,0.0,0.0,-99.36636574082694,1000000.0,99.36636574082694,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0,0,0.0,120
3,Spot Day Trading,Hybrid_LSTM_GRU,fixed_01,spot_day_trading,0.4,,,,,0.0,0.0,-99.36636574082694,1000000.0,99.36636574082694,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0,0,0.0,120
3,Spot Day Trading,Hybrid_LSTM_GRU,fixed_01,spot_day_trading,0.5,,,,,0.0,0.0,-99.36636574082694,1000000.0,99.36636574082694,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0,0,0.0,120
