model,confidence_threshold,total_predictions,base_accuracy,date_start,date_end,initial_capital,final_capital,total_return,total_return_pct,annual_return_pct,num_trades,num_wins,num_losses,win_rate,avg_profit_per_trade,avg_win,avg_loss,expectancy,profit_factor,max_drawdown,max_drawdown_pct,sharpe_ratio,sortino_ratio,calmar_ratio,recovery_factor,max_consecutive_wins,max_consecutive_losses,num_days,years,sufficient_trades,t_statistic,p_value,is_significant,is_very_significant,confidence_95_lower,confidence_95_upper,stat_warning
KNN,0.05,518,55.4054054054054,2022-10-10,2025-10-05,10000.0,9762.40505344952,-237.59494655048002,-2.3759494655048,-1.163004378209076,518,263,255,50.77220077220077,-0.45867750299322957,4.558755532812919,5.633520202667806,-0.4586775029932295,0.834606985523533,-261.77338350870923,2.61533369445374,-0.5619993072817614,-0.5267096617104737,-0.4446868025580922,-0.9076359993741503,7,6,518,2.0555555555555554,True,-0.8057501401817249,0.42075736980397127,False,False,-0.0001567505638344193,6.556824757313683e-05,
KNN,0.1,518,55.4054054054054,2022-10-10,2025-10-05,10000.0,9762.40505344952,-237.59494655048002,-2.3759494655048,-1.163004378209076,518,263,255,50.77220077220077,-0.45867750299322957,4.558755532812919,5.633520202667806,-0.4586775029932295,0.834606985523533,-261.77338350870923,2.61533369445374,-0.5619993072817614,-0.5267096617104737,-0.4446868025580922,-0.9076359993741503,7,6,518,2.0555555555555554,True,-0.8057501401817249,0.42075736980397127,False,False,-0.0001567505638344193,6.556824757313683e-05,
KNN,0.15,518,55.4054054054054,2022-10-10,2025-10-05,10000.0,9956.093506192532,-43.906493807467996,-0.43906493807467994,-0.21384049043240427,312,156,156,50.0,-0.14072594169061,8.786445717184993,9.067897600566212,-0.1407259416906097,0.9689617267663405,-304.86423804569677,2.9817279906313754,-0.08980194850173605,-0.1209551691279833,-0.07171696784693092,-0.14401982367274824,7,7,518,2.0555555555555554,True,-0.09992238388403074,0.9204703257545725,False,False,-0.000246325534715374,0.00022251618372892934,
KNN,0.2,518,55.4054054054054,2022-10-10,2025-10-05,10000.0,9934.126743074314,-65.87325692568629,-0.6587325692568629,-0.3210083164767674,298,151,147,50.671140939597315,-0.22105119773722082,9.11896564892741,9.815218162678446,-0.22105119773722315,0.9543446323224624,-304.1915966631932,2.9817279906314007,-0.1428049934459117,-0.18516955200509058,-0.10765848443767394,-0.21655186286629224,7,7,518,2.0555555555555554,True,-0.15529277665950403,0.8766959973255447,False,False,-0.0002704125988440858,0.0002308575741137146,
LSTM,0.0,368,59.78260869565217,2022-11-09,2025-10-05,10000.0,10128.117527172208,128.1175271722077,1.281175271722077,0.8755648858290721,368,196,172,53.2608695652174,0.3481454542722988,10.934533215471008,11.71541269220995,0.34814545427230037,1.063580290647358,-328.2841176431848,3.2300340596074637,0.2686164994837872,0.3019932258803076,0.27106986170154407,0.39026416535770364,8,6,368,1.4603174603174602,True,0.32460583641372887,0.7456643515756014,False,False,-0.00018701051589874016,0.00026095753868733517,
LSTM,0.05,368,59.78260869565217,2022-11-09,2025-10-05,10000.0,12679.612102080351,2679.612102080351,26.79612102080351,17.653587307222285,302,166,136,54.966887417218544,8.872887755232899,39.93165920826654,29.03708328302875,8.8728877552329,1.6785471519404016,-411.05471106715413,3.7538684786948084,2.443877186712661,3.294594769190183,4.7027719291221155,6.518869702584633,8,5,368,1.4603174603174602,True,2.675362149145187,0.007873299065825578,True,False,0.00021152372072598532,0.0013882333394629313,
LSTM,0.1,368,59.78260869565217,2022-11-09,2025-10-05,10000.0,14133.82179832483,4133.8217983248305,41.338217983248306,26.73459130257818,236,139,97,58.89830508474576,17.51619406069841,52.59211967797732,32.74724574138169,17.516194060698403,2.3013833256976963,-330.9587847441162,2.764123532864443,4.0152467420371645,7.5855194227497575,9.671995836913013,12.49044288557239,8,5,368,1.4603174603174602,True,3.885688387801402,0.0001327438734644897,True,True,0.0007316580871737246,0.0022366312229268295,
LSTM,0.15,368,59.78260869565217,2022-11-09,2025-10-05,10000.0,13845.89819545584,3845.8981954558403,38.4589819545584,24.96093176562859,187,113,74,60.42780748663101,20.566300510459016,53.04179141810006,29.02465182147934,20.566300510459016,2.7906019185190956,-276.5572124697246,2.591840497248314,4.604207921628279,10.246669216942646,9.6305817399369,13.90633844299707,8,4,368,1.4603174603174602,True,3.96620776632441,0.00010411351353698751,True,True,0.000884469384084566,0.0026351211383337124,
LSTM,0.2,368,59.78260869565217,2022-11-09,2025-10-05,10000.0,13941.774793938232,3941.7747939382316,39.417747939382316,25.55282811430859,142,88,54,61.97183098591549,27.758977422100283,60.87825183131711,26.213173466993798,27.75897742210028,3.7847002046237246,-221.78092585007835,2.1821340289317592,5.658373991971562,16.36738498635571,11.71001770538252,17.773281353342494,8,4,368,1.4603174603174602,True,4.2475211562245185,3.90380088311098e-05,True,True,0.0012639936204671453,0.0034650331348898356,
LightGBM,0.0,518,61.38996138996139,2022-10-10,2025-10-05,10000.0,12684.608365844475,2684.608365844475,26.846083658444748,12.264616085282153,518,290,228,55.98455598455598,5.182641632904401,23.877328525422122,18.59568818652603,5.182641632904403,1.6331896930999688,-297.9213524479874,2.7998426830012986,2.0333954707358046,2.6484156064800612,4.380466145381806,9.01113110485482,9,5,518,2.0555555555555554,True,2.9153215393001086,0.003707365953874995,True,False,0.00015189945502345548,0.000779642632790305,
