model,strategy_type,confidence_threshold,total_predictions,base_accuracy,date_start,date_end,initial_capital,final_capital,total_return,total_return_pct,annual_return_pct,num_trades,num_wins,num_losses,win_rate,avg_profit_per_trade,avg_win,avg_loss,expectancy,profit_factor,max_drawdown,max_drawdown_pct,sharpe_ratio,sortino_ratio,calmar_ratio,recovery_factor,max_consecutive_wins,max_consecutive_losses,num_days,years,sufficient_trades,t_statistic,p_value,is_significant,is_very_significant,confidence_95_lower,confidence_95_upper,stat_warning
AdaBoost,volatility_scaled,0.05,518,62.93436293436293,2022-10-10,2025-10-05,10000.0,0.0,-10000.0,-100.0,0.0,1,0,0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,518,2.0555555555555554,False,,,False,False,,,Insufficient trades: 1 < 30
AdaBoost,volatility_scaled,0.1,518,62.93436293436293,2022-10-10,2025-10-05,10000.0,35060.65807695672,25060.658076956723,250.60658076956722,84.0973760011753,362,217,145,59.94475138121547,69.22833722916212,197.89976558697575,123.3351107270141,69.22833722916212,2.4013213565049436,-1053.0703860694084,3.561510137566664,4.910743457045443,9.700423137681405,23.612841955472653,23.79770470091347,8,4,518,2.0555555555555554,True,5.885742549656558,9.057916903262135e-09,True,True,0.002354493944856511,0.004717355714081892,
AdaBoost,volatility_scaled,0.15,518,62.93436293436293,2022-10-10,2025-10-05,10000.0,27772.432017973126,17772.432017973126,177.72432017973125,64.36607087243975,300,179,121,59.66666666666667,59.24144005991048,163.76162992019138,95.37933667554643,59.24144005991047,2.539952033363017,-950.0526842259751,4.212252075365531,4.8643461621181405,9.543504940627372,15.280678772495872,18.706785753100256,7,4,518,2.0555555555555554,True,5.307436784374838,2.1702529948387284e-07,True,True,0.002185899455059626,0.004762145734928385,
AdaBoost,volatility_scaled,0.2,518,62.93436293436293,2022-10-10,2025-10-05,10000.0,24304.26873528518,14304.268735285179,143.0426873528518,54.03852551665764,232,139,93,59.91379310344828,61.656330755539535,162.37667912335863,88.88268454689978,61.65633075553952,2.730475874167218,-839.5888020265556,3.949753611947906,5.297506351605786,10.540585267229368,13.681492777977962,17.037231440865195,9,4,518,2.0555555555555554,True,5.082942632335415,7.672331640068955e-07,True,True,0.0023897525847447923,0.005415141627072632,
AdaBoost,inverse_volatility,0.0,518,62.93436293436293,2022-10-10,2025-10-05,10000.0,0.0,-10000.0,-100.0,0.0,1,0,0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,518,2.0555555555555554,False,,,False,False,,,Insufficient trades: 1 < 30
AdaBoost,inverse_volatility,0.05,518,62.93436293436293,2022-10-10,2025-10-05,10000.0,0.0,-10000.0,-100.0,0.0,1,0,0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,518,2.0555555555555554,False,,,False,False,,,Insufficient trades: 1 < 30
AdaBoost,inverse_volatility,0.1,518,62.93436293436293,2022-10-10,2025-10-05,10000.0,35060.65807695672,25060.658076956723,250.60658076956722,84.0973760011753,362,217,145,59.94475138121547,69.22833722916212,197.89976558697575,123.3351107270141,69.22833722916212,2.4013213565049436,-1053.0703860694084,3.561510137566664,4.910743457045443,9.700423137681405,23.612841955472653,23.79770470091347,8,4,518,2.0555555555555554,True,5.885742549656558,9.057916903262135e-09,True,True,0.002354493944856511,0.004717355714081892,
AdaBoost,inverse_volatility,0.15,518,62.93436293436293,2022-10-10,2025-10-05,10000.0,27772.432017973126,17772.432017973126,177.72432017973125,64.36607087243975,300,179,121,59.66666666666667,59.24144005991048,163.76162992019138,95.37933667554643,59.24144005991047,2.539952033363017,-950.0526842259751,4.212252075365531,4.8643461621181405,9.543504940627372,15.280678772495872,18.706785753100256,7,4,518,2.0555555555555554,True,5.307436784374838,2.1702529948387284e-07,True,True,0.002185899455059626,0.004762145734928385,
AdaBoost,inverse_volatility,0.2,518,62.93436293436293,2022-10-10,2025-10-05,10000.0,24304.26873528518,14304.268735285179,143.0426873528518,54.03852551665764,232,139,93,59.91379310344828,61.656330755539535,162.37667912335863,88.88268454689978,61.65633075553952,2.730475874167218,-839.5888020265556,3.949753611947906,5.297506351605786,10.540585267229368,13.681492777977962,17.037231440865195,9,4,518,2.0555555555555554,True,5.082942632335415,7.672331640068955e-07,True,True,0.0023897525847447923,0.005415141627072632,
AdaBoost,trend_following,0.0,518,62.93436293436293,2022-10-10,2025-10-05,10000.0,20493.94667708047,10493.946677080468,104.93946677080469,41.77564904845408,518,300,218,57.91505791505791,20.25858431868814,72.59834356364081,51.76860730280637,20.25858431868813,1.9298563856814666,-995.7207204032711,6.757207569395869,3.001233211839921,4.605230073301681,6.182383568866606,10.539046202463654,7,5,518,2.0555555555555554,True,4.302930715083009,2.0162863744277187e-05,True,True,0.000768344985733016,0.0020593842478568484,
