fold,strategy,model,position_strategy,trading_method,confidence_threshold,total_return_pct,alpha_pct,final_capital,num_trades,win_rate,max_drawdown,risk_reward_ratio,expectancy,sharpe_ratio,max_consecutive_losses,trading_suspended
1,Improved Spot Swing Trading,SVM,fixed_risk,spot_swing_improved,0.3,0.19978592448015586,-55.44706404536113,1001997.8592448015,7,0.5714285714285714,0.0008851150489609525,1.5750599194569879,285.4084635430479,1.3613907382865227,1.0,False
1,Improved Spot Day Trading,LogisticRegression,kelly,spot_day_improved,0.0,0.7242717559109657,-54.92257821393032,1007242.7175591096,16,0.3125,0.004931991201622946,3.548969807378215,452.6698474443624,1.0801549642922452,3.0,False
1,Improved Spot Swing Trading,LogisticRegression,kelly,spot_swing_improved,0.0,1.5152423976176665,-54.131607572223615,1015152.4239761767,4,0.75,0.004915768007886026,1.485248108865974,3788.105994044179,2.2048950127924,0.0,False
1,Improved Spot Day Trading,LogisticRegression,kelly,spot_day_improved,0.2,1.3823774074726014,-54.26447256236868,1013823.774074726,4,0.75,0.006677310916735958,1.4052671573394089,3455.9435186815244,1.3033605922003264,0.0,False
1,Improved Spot Swing Trading,LogisticRegression,kelly,spot_swing_improved,0.2,1.5152423976176665,-54.131607572223615,1015152.4239761767,4,0.75,0.004915768007886026,1.485248108865974,3788.105994044179,2.2048950127924,0.0,False
1,Improved Spot Day Trading,LogisticRegression,kelly,spot_day_improved,0.3,1.759061765133052,-53.88778820470823,1017590.6176513305,2,1.0,0.005786996940378539,0.0,8795.308825665234,2.06682889931404,0.0,False
1,Improved Spot Swing Trading,LogisticRegression,kelly,spot_swing_improved,0.3,1.5152423976176665,-54.131607572223615,1015152.4239761767,4,0.75,0.004915768007886026,1.485248108865974,3788.105994044179,2.2048950127924,0.0,False
1,Improved Spot Day Trading,LogisticRegression,anti_martingale,spot_day_improved,0.0,0.11008678802368888,-55.5367631818176,1001100.8678802368,16,0.3125,0.0007414150299119649,3.5739748883715587,68.80424251481017,1.0893441543157398,3.0,False
1,Improved Spot Swing Trading,LogisticRegression,anti_martingale,spot_swing_improved,0.0,0.22678146894636875,-55.420068500894914,1002267.8146894636,4,0.75,0.0007376750148259597,1.4879939049619797,566.9536723658778,2.206612977322679,0.0,False
1,Improved Spot Day Trading,LogisticRegression,anti_martingale,spot_day_improved,0.2,0.20743529685069984,-55.43941467299059,1002074.352968507,4,0.75,0.0010033563232616303,1.4056739246703598,518.5882421267797,1.3004835352324693,0.0,False
1,Improved Spot Swing Trading,LogisticRegression,anti_martingale,spot_swing_improved,0.2,0.22678146894636875,-55.420068500894914,1002267.8146894636,4,0.75,0.0007376750148259597,1.4879939049619797,566.9536723658778,2.206612977322679,0.0,False
1,Improved Spot Day Trading,LogisticRegression,anti_martingale,spot_day_improved,0.3,0.2632126698403292,-55.383637300000956,1002632.1266984034,2,1.0,0.0008696575466670716,0.0,1316.0633492017282,2.064619425187251,0.0,False
1,Improved Spot Swing Trading,LogisticRegression,anti_martingale,spot_swing_improved,0.3,0.22678146894636875,-55.420068500894914,1002267.8146894636,4,0.75,0.0007376750148259597,1.4879939049619797,566.9536723658778,2.206612977322679,0.0,False
1,Improved Spot Day Trading,LogisticRegression,fixed_risk,spot_day_improved,0.0,0.11008678802368888,-55.5367631818176,1001100.8678802368,16,0.3125,0.0007414150299119649,3.5739748883715587,68.80424251481017,1.0893441543157398,3.0,False
1,Improved Spot Swing Trading,LogisticRegression,fixed_risk,spot_swing_improved,0.0,0.22678146894636875,-55.420068500894914,1002267.8146894636,4,0.75,0.0007376750148259597,1.4879939049619797,566.9536723658778,2.206612977322679,0.0,False
1,Improved Spot Day Trading,LogisticRegression,fixed_risk,spot_day_improved,0.2,0.20743529685069984,-55.43941467299059,1002074.352968507,4,0.75,0.0010033563232616303,1.4056739246703598,518.5882421267797,1.3004835352324693,0.0,False
1,Improved Spot Swing Trading,LogisticRegression,fixed_risk,spot_swing_improved,0.2,0.22678146894636875,-55.420068500894914,1002267.8146894636,4,0.75,0.0007376750148259597,1.4879939049619797,566.9536723658778,2.206612977322679,0.0,False
1,Improved Spot Day Trading,LogisticRegression,fixed_risk,spot_day_improved,0.3,0.2632126698403292,-55.383637300000956,1002632.1266984034,2,1.0,0.0008696575466670716,0.0,1316.0633492017282,2.064619425187251,0.0,False
1,Improved Spot Swing Trading,LogisticRegression,fixed_risk,spot_swing_improved,0.3,0.22678146894636875,-55.420068500894914,1002267.8146894636,4,0.75,0.0007376750148259597,1.4879939049619797,566.9536723658778,2.206612977322679,0.0,False
1,Improved Spot Day Trading,NaiveBayes,kelly,spot_day_improved,0.0,-1.596601713565271,-57.243451683406555,984033.9828643473,20,0.2,0.015966017135652714,0.5287166105446272,-798.3008567826275,-2.3585674058681927,5.0,False
1,Improved Spot Swing Trading,NaiveBayes,kelly,spot_swing_improved,0.0,-0.8298132765034549,-56.47666324634474,991701.8672349654,9,0.4444444444444444,0.012966332401165738,0.4630337552719576,-922.014751670543,-1.164558539211827,0.0,False
1,Improved Spot Day Trading,NaiveBayes,kelly,spot_day_improved,0.2,1.136163326819406,-54.51068664302188,1011361.633268194,8,0.5,0.011107117132036208,2.5977862319277594,1420.2041585242278,0.9456414572584648,1.0,False
1,Improved Spot Swing Trading,NaiveBayes,kelly,spot_swing_improved,0.2,-0.8298132765034549,-56.47666324634474,991701.8672349654,9,0.4444444444444444,0.012966332401165738,0.4630337552719576,-922.014751670543,-1.164558539211827,0.0,False
