date,BTC_Open,BTC_High,BTC_Low,BTC_Close,BTC_Volume,ETH_Open,ETH_High,ETH_Low,ETH_Close,ETH_Volume,XRP_Open,XRP_High,XRP_Low,XRP_Close,XRP_Volume,SOL_Open,SOL_High,SOL_Low,SOL_Close,SOL_Volume,ADA_Open,ADA_High,ADA_Low,ADA_Close,ADA_Volume,DOGE_Open,DOGE_High,DOGE_Low,DOGE_Close,DOGE_Volume,AVAX_Open,AVAX_High,AVAX_Low,AVAX_Close,AVAX_Volume,DOT_Open,DOT_High,DOT_Low,DOT_Close,DOT_Volume
2025-09-29,160579000.0,163200000.0,159300000.0,162976000.0,1561.77655952,5931000.0,6038000.0,5842000.0,6009000.0,36958.91141701,4103.0,4183.0,4066.0,4107.0,83361431.7755915,301900.0,306700.0,293600.0,303600.0,581129.87610817,1158.0,1166.0,1130.0,1150.0,24611705.33829395,340.0,341.0,328.0,335.0,305049670.4730719,42980.0,43960.0,41750.0,43380.0,472753.60076494,5720.0,5740.0,5540.0,5675.0,984683.87607957
2025-09-30,162976000.0,163655000.0,161111000.0,162828000.0,1347.68465165,6009000.0,6048000.0,5880000.0,5918000.0,29411.48413252,4107.0,4135.0,4043.0,4066.0,61290947.23217277,303500.0,305100.0,293900.0,297600.0,405910.37136389,1150.0,1160.0,1118.0,1152.0,18302223.88524023,335.0,337.0,326.0,333.0,206934397.8355491,43370.0,43870.0,41360.0,42840.0,381834.43146053,5680.0,5690.0,5500.0,5580.0,959204.80869534
2025-10-01,162828000.0,168429000.0,162789000.0,168424000.0,2391.53349082,5919000.0,6180000.0,5900000.0,6176000.0,48978.72914199,4065.0,4197.0,4030.0,4188.0,101734318.1393613,297700.0,316100.0,295300.0,315300.0,642856.62111461,1151.0,1209.0,1141.0,1209.0,27976910.52892088,333.0,354.0,329.0,354.0,370299068.1664346,42810.0,44180.0,42270.0,43640.0,539852.82198377,5580.0,5870.0,5555.0,5865.0,1416978.24310546
2025-10-02,168424000.0,170903000.0,167709000.0,170704000.0,2634.57350068,6173000.0,6377000.0,6139000.0,6349000.0,52875.26710706,4186.0,4379.0,4171.0,4307.0,133765872.54757369,315500.0,332800.0,311600.0,332500.0,764267.73974733,1209.0,1239.0,1190.0,1234.0,34243062.25042312,354.0,374.0,350.0,371.0,515893828.3920111,43670.0,44600.0,42090.0,43940.0,804770.22741329,5865.0,6140.0,5815.0,6110.0,1745054.67024832
2025-10-03,170749000.0,174995000.0,169100000.0,173460000.0,2241.08106806,6349000.0,6480000.0,6276000.0,6396000.0,53562.29392409,4307.0,4368.0,4243.0,4311.0,97730948.4885868,332400.0,334300.0,323000.0,330000.0,771288.30951262,1233.0,1259.0,1207.0,1228.0,28830940.51866805,371.0,374.0,359.0,367.0,431118381.81950027,43930.0,44600.0,42560.0,44430.0,532464.57974757,6110.0,6180.0,5925.0,6120.0,1323019.40882872
2025-10-04,173460000.0,174990000.0,172673000.0,174964000.0,2463.17052828,6396000.0,6433000.0,6340000.0,6411000.0,26288.29447501,4311.0,4325.0,4210.0,4244.0,67051496.25238349,330000.0,331700.0,321100.0,325700.0,360383.15138989,1227.0,1233.0,1192.0,1202.0,19375752.16274399,367.0,369.0,353.0,359.0,287062510.4796588,44440.0,44690.0,42730.0,43110.0,318875.51676298,6125.0,6135.0,5925.0,5990.0,823983.46598739
2025-10-05,174986000.0,178651000.0,174270000.0,177024000.0,3767.82109651,6411000.0,6550000.0,6381000.0,6473000.0,44662.79097685,4244.0,4357.0,4221.0,4257.0,95459135.3336229,325600.0,336700.0,323500.0,327800.0,618882.31508967,1202.0,1253.0,1187.0,1202.0,42556845.43424058,359.0,376.0,356.0,363.0,544760395.4595356,43110.0,44280.0,42530.0,43160.0,451441.71388435,5990.0,6215.0,5850.0,5925.0,1260264.01629836
2025-10-06,177002000.0,178790000.0,176500000.0,177536000.0,2611.57241052,6471000.0,6709000.0,6455000.0,6672000.0,48927.13818115,4257.0,4324.0,4250.0,4262.0,72331626.99858901,327800.0,336900.0,326600.0,331400.0,517955.90421726,1202.0,1250.0,1195.0,1242.0,30189340.88735349,362.0,384.0,360.0,379.0,543794464.2839732,43100.0,44000.0,42970.0,43630.0,301043.68104812,5925.0,6325.0,5900.0,6265.0,1372333.60983552
2025-10-07,177562000.0,178400000.0,174385000.0,175460000.0,3389.80439054,6672000.0,6793000.0,6426000.0,6432000.0,95851.94132575,4262.0,4283.0,4130.0,4133.0,105532333.09477733,331400.0,335000.0,318400.0,318600.0,772731.6507866,1242.0,1253.0,1185.0,1187.0,41463953.34188326,378.0,383.0,357.0,358.0,648128673.8014214,43600.0,43790.0,40340.0,40450.0,589473.13255473,6250.0,6325.0,5930.0,5990.0,1820948.83437999
2025-10-08,175490000.0,178617000.0,175460000.0,178011000.0,2463.9288202,6433000.0,6553000.0,6426000.0,6530000.0,45114.32455106,4132.0,4208.0,4131.0,4157.0,45234549.91915958,318600.0,330700.0,317100.0,330300.0,458037.91643716,1188.0,1229.0,1179.0,1210.0,27771758.53794155,358.0,376.0,355.0,369.0,411181072.5630542,40450.0,42650.0,40360.0,41610.0,294523.75001371,5990.0,6105.0,5930.0,6045.0,832411.00839144
2025-10-09,177853000.0,179869000.0,176496000.0,177616000.0,2825.3725964,6525000.0,6542000.0,6292000.0,6375000.0,64589.22955365,4158.0,4158.0,4067.0,4096.0,72436218.08508249,330200.0,331500.0,318800.0,322700.0,553537.71206729,1209.0,1213.0,1171.0,1190.0,25103362.8110709,369.0,370.0,355.0,363.0,407685593.8108507,41580.0,41730.0,40680.0,41460.0,239715.87252821,6060.0,6060.0,5825.0,5945.0,1194815.14946806
2025-10-10,177616000.0,178151000.0,165000000.0,172257000.0,6799.93776544,6376000.0,6415000.0,5565000.0,5900000.0,195889.51556067,4096.0,4120.0,3013.0,3688.0,377560801.38679385,322700.0,326300.0,271600.0,292900.0,1471822.21945345,1189.0,1198.0,933.0,998.0,121662382.55541463,363.0,369.0,300.0,308.0,1265238993.0662675,41480.0,41620.0,31400.0,33330.0,1097307.32333165,5955.0,6235.0,4185.0,4668.0,6883056.70155788
2025-10-11,172180000.0,173937000.0,166500000.0,170390000.0,4416.69331273,5900000.0,5983000.0,5634000.0,5777000.0,106966.5970071,3694.0,3817.0,3480.0,3674.0,308398219.2246205,292900.0,296700.0,269300.0,273900.0,1635983.6998187,998.0,1039.0,949.0,973.0,93221854.4367679,309.0,313.0,277.0,286.0,1539436157.471987,33100.0,35500.0,31500.0,33110.0,886210.2167373,4670.0,5035.0,4417.0,4614.0,4721920.3039352
2025-10-12,170390000.0,174909000.0,168132000.0,173833000.0,3435.1907301,5777000.0,6287000.0,5677000.0,6275000.0,118717.34080711,3673.0,3876.0,3550.0,3821.0,230826083.23915765,273900.0,299500.0,266000.0,297400.0,1298465.13965265,973.0,1065.0,948.0,1058.0,57688247.44323529,286.0,321.0,277.0,314.0,1038153625.1797982,33120.0,35050.0,31640.0,34030.0,1147496.08989452,4621.0,4962.0,4462.0,4899.0,2762406.30407652
2025-10-13,173833000.0,175337000.0,170778000.0,171680000.0,2243.15905637,6275000.0,6370000.0,6085000.0,6314000.0,68277.45701991,3821.0,3963.0,3805.0,3884.0,143497739.79159886,297500.0,311600.0,286800.0,310600.0,987449.47555547,1057.0,1095.0,1042.0,1086.0,43692615.05323721,314.0,324.0,304.0,319.0,652499591.6127923,34020.0,35840.0,32810.0,35450.0,1130447.60925279,4898.0,5125.0,4833.0,5030.0,1992045.06918308
2025-10-14,171695000.0,172444000.0,168000000.0,170070000.0,2556.34346069,6315000.0,6355000.0,5930000.0,6197000.0,104741.29268243,3885.0,3911.0,3667.0,3767.0,163229018.10757267,310700.0,314900.0,291000.0,304100.0,1093568.15682325,1086.0,1094.0,1012.0,1052.0,43143577.86499639,318.0,322.0,296.0,308.0,848809266.8885971,35450.0,35680.0,33260.0,34230.0,753654.06474146,5025.0,5070.0,4650.0,4889.0,2180155.82427583
2025-10-15,170109000.0,170740000.0,168001000.0,168539000.0,1724.32577247,6199000.0,6300000.0,6007000.0,6061000.0,52498.17303908,3767.0,3810.0,3650.0,3672.0,88962803.35612787,304200.0,312500.0,294500.0,295300.0,680257.76440047,1050.0,1071.0,1008.0,1019.0,25715139.61535207,307.0,313.0,298.0,299.0,434185258.8486646,34190.0,34860.0,32950.0,33350.0,376233.6926947,4889.0,4999.0,4736.0,4775.0,1100107.5058689
2025-10-16,168642000.0,170124000.0,164858000.0,165290000.0,2618.72985457,6066000.0,6178000.0,5889000.0,5955000.0,53288.36809392,3671.0,3725.0,3517.0,3562.0,130492600.60477543,295300.0,299500.0,280200.0,282800.0,724620.54186658,1018.0,1033.0,977.0,987.0,30269221.75544265,299.0,304.0,285.0,288.0,567104558.8354508,33350.0,33820.0,31600.0,32060.0,380254.63138164,4778.0,4844.0,4577.0,4616.0,1324605.54555716
2025-10-17,165291000.0,166565000.0,159671000.0,163639000.0,4263.22344629,5957000.0,6030000.0,5680000.0,5889000.0,91033.99740922,3561.0,3660.0,3372.0,3528.0,227890273.26271725,282800.0,286400.0,268700.0,280100.0,983407.87362974,987.0,1000.0,913.0,961.0,62671604.90318848,289.0,292.0,270.0,285.0,679257575.289913,32060.0,32440.0,29090.0,30700.0,749352.82413909,4612.0,4666.0,4240.0,4448.0,2476264.06936591
2025-10-18,163639000.0,164998000.0,162852000.0,163631000.0,926.13402213,5891000.0,5982000.0,5867000.0,5937000.0,20394.0983391,3527.0,3654.0,3521.0,3601.0,65907914.01102586,280000.0,286800.0,279500.0,286200.0,283716.88449721,961.0,979.0,956.0,969.0,14699958.98418458,285.0,291.0,283.0,290.0,212475568.28392103,30700.0,31100.0,30360.0,30840.0,211980.12261594,4443.0,4523.0,4432.0,4473.0,568326.47574058
2025-10-19,163631000.0,165996000.0,161250000.0,164806000.0,1399.97751435,5939000.0,6110000.0,5835000.0,6040000.0,37285.62765462,3602.0,3659.0,3520.0,3626.0,70200732.04169251,286200.0,290900.0,278500.0,285000.0,389840.13910074,969.0,1006.0,946.0,991.0,22176086.97888133,290.0,301.0,282.0,297.0,323951296.6859962,30860.0,31560.0,29990.0,31230.0,209612.79802373,4474.0,4626.0,4387.0,4564.0,882639.20791663
2025-10-20,164806000.0,167468000.0,163398000.0,165911000.0,1448.62619236,6040000.0,6136000.0,5906000.0,5973000.0,47795.02502884,3626.0,3816.0,3583.0,3740.0,94618322.96030262,285000.0,291900.0,279400.0,284600.0,473678.5060411,991.0,1015.0,973.0,995.0,26154646.73965998,296.0,304.0,291.0,300.0,316091675.63688415,31230.0,31900.0,30450.0,30520.0,576298.05456217,4564.0,4690.0,4490.0,4624.0,868146.24070217
2025-10-21,165911000.0,169336000.0,162011000.0,163400000.0,2420.85720656,5974000.0,6100000.0,5801000.0,5837000.0,64045.9147134,3740.0,3766.0,3620.0,3648.0,100120238.78721136,284400.0,293700.0,275700.0,279600.0,623277.68444862,994.0,1020.0,963.0,969.0,31068732.88941134,300.0,306.0,290.0,293.0,385526235.8723651,30530.0,31070.0,29370.0,29440.0,636935.20963418,4623.0,4737.0,4455.0,4529.0,1218880.69191732
2025-10-22,163400000.0,164406000.0,162500000.0,163153000.0,1291.51295714,5838000.0,5862000.0,5691000.0,5768000.0,48950.92214083,3648.0,3674.0,3550.0,3583.0,73570890.76534137,279700.0,282500.0,270000.0,273100.0,422616.01651314,969.0,975.0,930.0,946.0,24421392.26969186,293.0,295.0,283.0,288.0,295979752.7832692,29440.0,29760.0,28100.0,28780.0,437173.15669899,4528.0,4569.0,4333.0,4423.0,1053011.29085677
2025-10-23,163153000.0,166400000.0,163035000.0,165546000.0,1119.20412068,5768000.0,5895000.0,5746000.0,5804000.0,35561.42477091,3584.0,3638.0,3576.0,3600.0,46317514.97589472,273100.0,289500.0,272400.0,287900.0,456925.51915123,946.0,978.0,944.0,967.0,16474173.6627701,288.0,296.0,287.0,293.0,176441250.55512923,28790.0,29600.0,28520.0,28810.0,227109.59020202,4421.0,4541.0,4392.0,4507.0,790538.87311378
2025-10-24,165546000.0,167381000.0,164420000.0,165703000.0,1440.09487313,5806000.0,6000000.0,5790000.0,5869000.0,48986.53196054,3602.0,3754.0,3592.0,3742.0,88833474.09377578,287900.0,293500.0,283200.0,288800.0,503440.47632101,967.0,990.0,961.0,980.0,19037937.02746977,293.0,300.0,291.0,296.0,225195949.75633988,28810.0,29790.0,28650.0,29100.0,267813.10506639,4516.0,4665.0,4504.0,4594.0,782362.84130634
