Model,FPR,TPR,Threshold,AUC
ExtraTrees,0.546875,0.7111111111111111,0.45901337545804416,0.5987847222222221
ExtraTrees,0.5546875,0.7111111111111111,0.4573641456317432,0.5987847222222221
ExtraTrees,0.5546875,0.725925925925926,0.456364259274319,0.5987847222222221
ExtraTrees,0.6171875,0.725925925925926,0.44182728190672454,0.5987847222222221
ExtraTrees,0.6171875,0.7333333333333333,0.4417527661981557,0.5987847222222221
ExtraTrees,0.6328125,0.7333333333333333,0.439043936868938,0.5987847222222221
ExtraTrees,0.6328125,0.7407407407407407,0.43880805131286166,0.5987847222222221
ExtraTrees,0.6484375,0.7407407407407407,0.43719721269983525,0.5987847222222221
ExtraTrees,0.6484375,0.7555555555555555,0.43638974186930035,0.5987847222222221
ExtraTrees,0.671875,0.7555555555555555,0.4320657852713347,0.5987847222222221
ExtraTrees,0.671875,0.762962962962963,0.431074927090715,0.5987847222222221
ExtraTrees,0.6796875,0.762962962962963,0.4308158710251263,0.5987847222222221
ExtraTrees,0.6796875,0.7777777777777778,0.42834883141565117,0.5987847222222221
ExtraTrees,0.6953125,0.7777777777777778,0.42672923865748813,0.5987847222222221
ExtraTrees,0.6953125,0.8,0.4237013881018285,0.5987847222222221
ExtraTrees,0.703125,0.8,0.4235711570392284,0.5987847222222221
ExtraTrees,0.703125,0.8074074074074075,0.42341005410842236,0.5987847222222221
ExtraTrees,0.7109375,0.8074074074074075,0.41983589170420665,0.5987847222222221
ExtraTrees,0.7109375,0.8222222222222222,0.4121431622434257,0.5987847222222221
ExtraTrees,0.7265625,0.8222222222222222,0.4117863697896443,0.5987847222222221
ExtraTrees,0.7265625,0.8296296296296296,0.4116168781598583,0.5987847222222221
ExtraTrees,0.765625,0.8296296296296296,0.4062265847640667,0.5987847222222221
ExtraTrees,0.765625,0.837037037037037,0.40603640421724646,0.5987847222222221
ExtraTrees,0.78125,0.837037037037037,0.40538014251421417,0.5987847222222221
ExtraTrees,0.78125,0.8814814814814815,0.39866110005111877,0.5987847222222221
ExtraTrees,0.7890625,0.8814814814814815,0.3985607606891848,0.5987847222222221
ExtraTrees,0.7890625,0.9111111111111111,0.3975474480882584,0.5987847222222221
ExtraTrees,0.8046875,0.9111111111111111,0.3968757468888341,0.5987847222222221
ExtraTrees,0.8046875,0.9259259259259259,0.39606761440245597,0.5987847222222221
ExtraTrees,0.8203125,0.9259259259259259,0.3933050354143623,0.5987847222222221
ExtraTrees,0.8203125,0.9407407407407408,0.38779244084552694,0.5987847222222221
ExtraTrees,0.828125,0.9407407407407408,0.3873589001490576,0.5987847222222221
ExtraTrees,0.828125,0.9481481481481482,0.3872294099649352,0.5987847222222221
ExtraTrees,0.8515625,0.9481481481481482,0.386106869036098,0.5987847222222221
ExtraTrees,0.8515625,0.9555555555555556,0.38583972878116024,0.5987847222222221
ExtraTrees,0.859375,0.9555555555555556,0.3854553310753516,0.5987847222222221
ExtraTrees,0.859375,0.9629629629629629,0.3850173511528061,0.5987847222222221
ExtraTrees,0.90625,0.9629629629629629,0.37280345649410407,0.5987847222222221
ExtraTrees,0.90625,0.9703703703703703,0.37055841662447375,0.5987847222222221
ExtraTrees,0.9296875,0.9703703703703703,0.36694394087867066,0.5987847222222221
ExtraTrees,0.9296875,0.9777777777777777,0.3631075656026701,0.5987847222222221
ExtraTrees,0.9375,0.9777777777777777,0.3627976452867947,0.5987847222222221
ExtraTrees,0.9375,0.9851851851851852,0.3615589345458895,0.5987847222222221
ExtraTrees,0.9765625,0.9851851851851852,0.3429986311297394,0.5987847222222221
ExtraTrees,0.9765625,0.9925925925925926,0.33096847043983196,0.5987847222222221
ExtraTrees,1.0,0.9925925925925926,0.3245312902390956,0.5987847222222221
ExtraTrees,1.0,1.0,0.3218281569710756,0.5987847222222221
AdaBoost,0.0,0.0,inf,0.6672164351851851
AdaBoost,0.0,0.007407407407407408,0.669097694885047,0.6672164351851851
AdaBoost,0.015625,0.007407407407407408,0.6669645857753743,0.6672164351851851
AdaBoost,0.0234375,0.022222222222222223,0.6597063624451355,0.6672164351851851
AdaBoost,0.0234375,0.037037037037037035,0.6389032792291887,0.6672164351851851
AdaBoost,0.03125,0.037037037037037035,0.6352748405086551,0.6672164351851851
AdaBoost,0.03125,0.07407407407407407,0.6155634283734478,0.6672164351851851
AdaBoost,0.046875,0.08148148148148149,0.6132846750687052,0.6672164351851851
AdaBoost,0.0546875,0.08148148148148149,0.6124787406257909,0.6672164351851851
AdaBoost,0.0703125,0.1111111111111111,0.6055484426110945,0.6672164351851851
AdaBoost,0.09375,0.13333333333333333,0.6024352959711736,0.6672164351851851
AdaBoost,0.09375,0.14074074074074075,0.6007116241951375,0.6672164351851851
AdaBoost,0.1015625,0.14074074074074075,0.5902408885171565,0.6672164351851851
AdaBoost,0.1015625,0.14814814814814814,0.5893943290711734,0.6672164351851851
AdaBoost,0.109375,0.15555555555555556,0.5857912585024458,0.6672164351851851
AdaBoost,0.1328125,0.1925925925925926,0.5835246728211686,0.6672164351851851
AdaBoost,0.140625,0.2,0.5790479947006232,0.6672164351851851
AdaBoost,0.140625,0.2074074074074074,0.5772762491517086,0.6672164351851851
AdaBoost,0.1484375,0.2074074074074074,0.5734508510479075,0.6672164351851851
AdaBoost,0.1484375,0.21481481481481482,0.5710507990146234,0.6672164351851851
AdaBoost,0.203125,0.2962962962962963,0.5662241463526835,0.6672164351851851
AdaBoost,0.203125,0.3111111111111111,0.5637049808258981,0.6672164351851851
AdaBoost,0.21875,0.32592592592592595,0.5630246012332999,0.6672164351851851
AdaBoost,0.2265625,0.32592592592592595,0.55662795603864,0.6672164351851851
AdaBoost,0.2265625,0.34074074074074073,0.5511199692387844,0.6672164351851851
AdaBoost,0.2734375,0.4444444444444444,0.5436593711397587,0.6672164351851851
AdaBoost,0.2734375,0.45925925925925926,0.5412057420179333,0.6672164351851851
AdaBoost,0.2734375,0.4666666666666667,0.5388754243458148,0.6672164351851851
AdaBoost,0.28125,0.4740740740740741,0.5356395888799981,0.6672164351851851
AdaBoost,0.28125,0.4962962962962963,0.5319848671922852,0.6672164351851851
AdaBoost,0.28125,0.5037037037037037,0.531637581438274,0.6672164351851851
AdaBoost,0.2890625,0.5037037037037037,0.5283573346893172,0.6672164351851851
AdaBoost,0.2890625,0.5111111111111111,0.5228958611235626,0.6672164351851851
AdaBoost,0.2890625,0.5333333333333333,0.5161037962624253,0.6672164351851851
AdaBoost,0.2890625,0.5407407407407407,0.5115153748053968,0.6672164351851851
AdaBoost,0.3046875,0.5407407407407407,0.5000672064207706,0.6672164351851851
AdaBoost,0.3203125,0.5481481481481482,0.4854858403455916,0.6672164351851851
AdaBoost,0.328125,0.5481481481481482,0.4822353277873924,0.6672164351851851
AdaBoost,0.328125,0.562962962962963,0.4797959646677294,0.6672164351851851
AdaBoost,0.328125,0.5703703703703704,0.4775612855395498,0.6672164351851851
AdaBoost,0.3359375,0.5703703703703704,0.4773290791533591,0.6672164351851851
AdaBoost,0.3359375,0.5925925925925926,0.4650986301955362,0.6672164351851851
AdaBoost,0.359375,0.6444444444444445,0.46270647259727116,0.6672164351851851
AdaBoost,0.375,0.6592592592592592,0.4624793381179698,0.6672164351851851
AdaBoost,0.375,0.6666666666666666,0.45701808283662476,0.6672164351851851
